belongs_to_collection,id_genres
10194,16
10194,35
10194,10751
119050,10749
119050,35
96871,35
645,12
645,28
645,53
117693,10751
117693,16
117693,12
3167,80
3167,35
3167,12
91698,35
91698,53
91698,80
9435,14
9435,18
9435,35
9435,10751
9818,28
9818,14
136214,12
136214,16
136214,18
136214,10751
124935,28
124935,878
43563,35
10924,27
10924,28
10924,53
10924,80
122017,27
122017,878
256377,28
256377,35
256377,10402
256377,10751
256377,12
91430,14
14890,28
14890,35
14890,80
14890,53
120794,28
120794,80
120794,14
439053,35
8819,14
8819,35
8819,10751
9649,53
9649,28
9649,80
1570,28
1570,53
259398,28
259398,35
259398,80
259398,18
9328,12
286162,28
286162,12
286162,878
286162,10751
286162,14
328073,80
328073,18
328073,9648
328073,53
328073,28
9068,14
9068,27
9068,53
247294,18
439053,35
439053,18
9887,878
9887,27
9887,28
112399,28
112399,53
23170,18
123800,18
123800,10749
182813,35
96665,35
410261,10749
410261,16
410261,10751
410261,35
410261,12
217704,27
217704,10749
10,12
10,28
10,878
286948,878
286948,28
286948,53
300546,18
48188,18
48188,10749
48188,53
131,18
131,9648
131,10749
131,18
131,10402
131,9648
131,35
131,18
131,9648
144200,16
53159,14
53159,18
53159,35
53159,10751
115142,27
115142,35
115142,53
115570,878
115570,28
115570,12
115570,53
3167,35
3167,9648
192492,28
192492,18
192492,53
9436,14
9436,28
9436,53
351684,14
351684,35
351684,10751
94032,10751
94032,16
94032,18
8581,27
8581,53
8581,9648
8581,14
43072,10749
43072,35
43072,80
43072,14
37139,35
37139,80
167985,35
167985,10751
43064,28
43064,12
43064,80
170452,53
170452,878
170452,28
170452,80
261203,28
261203,12
261203,53
439409,27
439409,53
8050,28
8050,14
8050,878
11716,35
11716,10751
11716,14
162028,28
162028,35
85861,28
85861,35
85861,80
150156,28
150156,35
150156,18
150156,37
252313,99
9328,10751
9328,12
134011,12
134011,28
134011,53
134011,80
134011,9648
412680,28
412680,12
412680,80
412680,53
52988,28
52988,35
52988,10752
159600,35
328,12
328,878
8580,12
5547,28
5547,12
5547,80
5547,878
5547,53
462565,18
462565,10751
462565,14
105075,12
105075,14
105075,28
105075,53
105075,878
422837,878
422837,18
422837,53
224478,35
9888,35
9888,10751
86027,16
86027,10751
86027,35
86027,12
86027,14
86027,10749
528,28
528,53
528,878
120794,14
120794,28
9743,80
9743,18
9743,53
153010,10749
153010,10751
153010,16
153010,14
153010,10402
98580,27
43058,12
43058,35
43058,18
43058,10751
141086,16
141086,878
8917,27
8917,53
8917,878
140910,10749
140910,16
140910,10751
140910,12
140910,14
87359,12
87359,28
87359,53
169452,14
36694,28
36694,53
158391,18
158391,18
144146,18
144146,878
144146,9648
143766,28
143766,53
52888,14
52888,35
52888,878
23026,28
23026,16
23026,878
529,10751
529,16
529,35
116661,28
116661,9648
116661,878
116661,53
303969,18
303969,10749
424202,18
424202,80
304378,28
304378,12
304378,878
97456,18
97456,16
97456,10751
86028,14
86028,35
86028,10749
86028,878
224478,35
9436,28
9436,14
9436,53
115142,27
115142,35
115838,28
115838,12
115838,878
115838,53
230,18
230,80
269098,28
269098,80
269098,53
269098,28
269098,12
269098,80
19163,16
19163,12
19163,10751
91361,27
91361,53
4438,878
4438,9648
4438,12
47814,35
47814,80
47814,9648
261590,27
242765,28
242765,10769
10709,28
10709,35
10709,18
10709,10751
87232,35
87232,10751
181496,28
181496,12
181496,10751
181496,37
90348,12
90348,14
90348,878
90348,10751
12087,35
12087,10751
12087,14
12087,10749
12087,35
12087,10751
12087,14
216395,35
216395,10751
43058,12
43058,35
43058,18
43058,10751
294519,35
294519,10751
55419,10751
55419,14
55419,16
55419,10749
271668,16
271668,10751
271668,10402
100970,12
100970,16
100970,18
100970,10751
355490,35
355490,18
355490,53
1570,28
1570,53
124935,27
124935,53
124935,878
86027,12
86027,16
86027,10751
86058,18
86058,10402
86058,10749
118221,35
86336,53
86336,9648
115225,27
937,9648
937,35
937,80
115838,878
115838,28
174218,18
174218,27
39460,18
39460,18
529,16
529,35
529,10751
153948,28
33071,35
10,12
10,28
10,878
84,12
84,28
8091,27
8091,28
8091,53
8091,878
48317,37
10,12
10,28
10,878
8091,27
8091,28
8091,53
8091,878
1960,14
1960,27
1960,35
119674,18
119674,27
119674,53
112636,10402
112636,35
112636,28
112636,80
230,18
230,80
529,12
529,16
529,35
529,878
529,10751
330605,35
330605,80
330605,18
528,28
528,53
528,878
359005,80
359005,18
359005,9648
359005,53
1960,27
1960,35
1960,14
264,12
264,35
264,878
264,10751
8050,12
8050,28
8050,14
55427,16
55427,10751
55427,10402
173344,99
173344,10402
84,12
84,28
8091,878
8091,28
8091,27
397842,27
397842,27
397842,53
397842,27
397842,27
397842,27
397842,18
397842,27
397842,53
397842,27
422193,27
422193,878
218406,27
218406,878
98580,18
98580,27
98580,53
257053,27
257053,53
8581,27
10919,27
10919,53
498,18
498,10749
115570,878
