id_belong,name,id_movie
10194,Toy Story Collection,862
119050,Grumpy Old Men Collection,15602
96871,Father of the Bride Collection,11862
645,James Bond Collection,710
117693,Balto Collection,21032
3167,Ace Ventura Collection,9273
91698,Chili Palmer Collection,8012
9435,Babe Collection,9598
9818,Mortal Kombat Collection,9312
136214,Pocahontas Collection,10530
124935,The Lawnmower Man Collection,11525
43563,Friday Collection,10634
10924,From Dusk Till Dawn Collection,755
256377,The Muppet Collection,10874
91430,The Neverending Story Collection,27793
14890,Bad Boys Collection,9737
120794,Batman Collection,414
439053,Brooklyn Cigar Store Collection,5894
9649,Mexico Trilogy,8068
1570,Die Hard Collection,1572
259398,Teenage Apocalypse Trilogy,13552
9328,Free Willy Collection,9073
286162,Power Rangers Collection,9070
328073,Síť (kolekce),1642
247294,Showgirls Collection,10802
9887,Species Collection,9348
112399,Under Siege Collection,3512
23170,Burnt by the Sun Trilogy,50797
123800,Before... Collection,76
182813,Clerks Collection,2292
96665,Dumb and Dumber Collection,8467
410261,A Goofy Movie Collection,15789
217704,The Vampire Chronicles,628
10,Star Wars Collection,11
48188,Poison Ivy Collection,18220
131,Three Colors Collection,110
144200,Swan Princess Series,22586
53159,The Santa Clause Collection,11395
115142,Tales from the Crypt Collection,9059
115570,Star Trek: The Next Generation Collection,193
192492,The Jack Ryan Collection,9331
9436,The Crow Collection,9495
351684,The Flintstones (Live-Action) Collection,888
94032,The Lion King Collection,8587
8581,A Nightmare on Elm Street Collection,11596
43072,The Mask Collection,854
37139,Naked Gun Collection,36593
43064,Speed Collection,1637
170452,Timecop Collection,8831
261203,Street Fighter,11667
8050,Highlander Collection,8011
11716,Addams Family Collection,2758
85861,Beverly Hills Cop Collection,306
150156,City Slickers Collection,11310
252313,The Endless Summer Collection,24257
134011,The Fugitive / U.S. Marshals Collection,5503
412680,Hard Target Collection,2019
52988,Hot Shots! Collection,9255
328,Jurassic Park Collection,329
8580,The Karate Kid Collection,11231
5547,RoboCop Collection,5550
462565,The Secret Garden Collection,11236
105075,The Shadow Collection,8850
422837,Blade Runner Collection,78
9888,Home Alone Collection,771
86027,Aladdin Collection,812
528,The Terminator Collection,280
9743,The Hannibal Lecter Anthology,274
153010,Beauty and the Beast Collection,10020
98580,Candyman Collection,10824
141086,Heavy Metal Collection,11827
8917,Hellraiser Collection,8766
140910,All Dogs Go to Heaven Collection,19042
87359,Mission: Impossible Collection,954
169452,DragonHeart Collection,8840
36694,Bloodsport Collection,25087
158391,The Apu Collection,5801
144146,Lemmy Caution Collection,8072
52888,The Visitors Collection,11687
23026,Ghost in the Shell Collection,9323
529,Wallace & Gromit Collection,532
116661,The Arrival Collection,10547
424202,Trainspotting Collection,627
304378,Independence Day Collection,602
97456,The Hunchback of Notre Dame Collection,10545
86028,The Nutty Professor Collection,9327
115838,Escape From ... Collection,10061
230,The Godfather Collection,238
269098,Police Story Collection,11134
19163,The Land Before Time Collection,19004
91361,Halloween Collection,10987
4438,The Space Odyssey Series,62
47814,The Thin Man Collection,3529
261590,Living Dead Collection,10331
10709,The Mighty Ducks Collection,10680
90348,Witch Mountain Collection,14821
12087,Herbie Collection,14136
55419,Cinderella Collection,11224
100970,The Fox and the Hound Collection,10948
355490,Freeway Collection,11229
86058,Dirty Dancing Collection,88
86336,Basic Instinct Collection,402
115225,Children of the Corn Collection,25750
937,The Pink Panther (Original) Collection,11843
174218,The Howling Collection,11298
153948,Best of the Best Collection,36555
33071,Cheech & Chong Collection,11455
84,Indiana Jones Collection,85
8091,Alien Collection,679
48317,The Man With No Name Collection,429
1960,Evil Dead Collection,766
119674,Psycho Collection,539
112636,The Blues Brothers Collection,525
359005,The Jake Gittes Collection,829
264,Back to the Future Collection,105
55427,Fantasia Collection,756
173344,Qatsi Collection,11314
397842,The Amityville Horror Collection,41671
218406,Frankenstein (Universal Series),229
257053,Carrie Collection,7340
10919,The Omen Collection,794
498,Heart of Gold Collection,145
307637,Jingle All the Way Collection,9279
105629,Paradise Lost Collection,17204
124916,101 Dalmatians (Live-Action) Collection,11674
151,Star Trek: The Original Series Collection,152
9329,Young Guns Collection,11967
86083,Grease Collection,621
2366,The Jaws Collection,578
2602,Scream Collection,4232
166379,Turbulence Collection,34314
105995,Anaconda Collection,9360
1006,Austin Powers Collection,816
182923,Tetsuo Collection,17991
86055,Men In Black Collection,607
43055,Conan the Barbarian Collection,9387
97445,Air Bud Collection,20737
10721,Mimic Collection,4961
142680,Alex Cross Collection,9437
135489,Wishmaster Collection,10351
3601,I Know What You Did Last Summer Collection,3597
103372,Mr. Bean Collection,1281
10522,Starship Troopers Collection,563
372479,Les Boys,42832
33059,Wild Things Collection,617
221966,The Odd Couple Collection,27472
97771,Major League Collection,9771
87236,Mulan Collection,10674
19387,The X-Files Collection,846
3169,Dr. Dolittle Collection,3050
945,Lethal Weapon Collection,944
155474,French Connection Collection,1051
1575,Rocky Collection,1366
9735,Friday the 13th Collection,4488
10453,Poltergeist Collection,609
12263,The Exorcist Collection,9552
89151,The Gremlins Collection,927
1657,Zorro Collection,9342
294468,Flubber Collection,17984
87250,Bambi Collection,3170
72119,"Honey, I Shrunk the Kids Collection",11158
97459,The Jungle Book Collection,9325
97460,Lady and the Tramp Collection,10340
33085,The Little Mermaid Collection,10144
100693,101 Dalmatians (Animated) Collection,12230
55422,Peter Pan Collection,10693
57971,The Rescuers Collection,11135
248126,Splash Collection,2619
63043,TRON Collection,97
141290,The Lord of the Rings Animated Collection,123
141292,The Secret Of NIMH Collection,11704
102782,House Collection,11415
87805,The Gods Must Be Crazy Collection,8393
735,Blade Collection,36647
432,Cube Collection,431
90863,Rush Hour Collection,2109
52760,Urban Legend,9877
479888,The Thing Collection,1091
348843,Vampires Collection,9945
100286,Elizabeth Collection,4518
374384,Stepford Collection,12223
57129,Rugrats Collection,14444
374509,Godzilla (Showa) Collection,1678
374511,Godzilla (Heisei) Collection,39256
104833,Fletch Collection,9749
9338,Police Academy Collection,9336
5039,Rambo Collection,1369
89264,Romancing the Stone Collection,10303
86307,Cocoon Collection,10328
340623,The Gate Collection,6917
123213,The Fly (1958 series),11815
109609,The Fly Collection,9426
111751,Texas Chainsaw Massacre Collection,30497
9332,Crocodile Dundee Collection,9671
387618,8MM Collection,8224
10789,Pet Sematary Collection,8913
33938,Airport Collection,10671
166698,Westworld Collection,2362
1709,Planet of the Apes Original Collection,871
110127,Analyze Collection,9535
52789,Cruel Intentions Collection,796
2344,The Matrix Collection,603
1733,The Mummy Collection,564
221544,The Mummy (Universal Series),15849
138965,The Mummy (Hammer Series),18990
8537,Superman Collection,1924
221539,Dracula (Universal Series),138
259027,The Wolf Man (Universal Series),3076
123720,Frankenstein (Hammer Series),3079
87228,Swamp Thing Collection,17918
106768,Tarzan (Animation) Collection,37135
2806,American Pie Collection,2105
104068,Tales of the Four Seasons,10239
64750,Blair Witch Collection,2667
2980,Ghostbusters Collection,620
237445,Inspector Gadget Collection,332
185682,The Adventures of Antoine Doinel,147
135502,Allan Quatermain Collection,9710
91663,Airplane Collection,813
180854,Problem Child Collection,11077
201873,A Christmas Story Collection,850
10713,Universal Soldier Collection,10366
98168,Fright Night Collection,11797
146136,Armour of God Collection,10975
47770,Phantasm Collection,9638
12203,Drunken Master Collection,11230
124492,The Dirty Dozen Collection,1654
59586,The Blue Lagoon collection,5689
89188,Harry Palmer Collection,15247
391047,On Any Sunday Collection,29251
