id_movie,budget,original_language,popularity,release_date,revenue,runtime,status,vote_average,vote_count,return,release_year
862,30000000,en,21.946943,1995-10-30,373554033,81.0,Released,7.7,5415,12.45,1995
8844,65000000,en,17.015539,1995-12-15,262797249,104.0,Released,6.9,2413,4.04,1995
15602,0,en,11.7129,1995-12-22,0,101.0,Released,6.5,92,0.0,1995
31357,16000000,en,3.859495,1995-12-22,81452156,127.0,Released,6.1,34,5.09,1995
11862,0,en,8.387519,1995-02-10,76578911,106.0,Released,5.7,173,0.0,1995
949,60000000,en,17.924927,1995-12-15,187436818,170.0,Released,7.7,1886,3.12,1995
11860,58000000,en,6.677277,1995-12-15,0,127.0,Released,6.2,141,0.0,1995
45325,0,en,2.561161,1995-12-22,0,97.0,Released,5.4,45,0.0,1995
9091,35000000,en,5.23158,1995-12-22,64350171,106.0,Released,5.5,174,1.84,1995
710,58000000,en,14.686036,1995-11-16,352194034,130.0,Released,6.6,1194,6.07,1995
9087,62000000,en,6.318445,1995-11-17,107879496,106.0,Released,6.5,199,1.74,1995
12110,0,en,5.430331,1995-12-22,0,88.0,Released,5.7,210,0.0,1995
21032,0,en,12.140733,1995-12-22,11348324,78.0,Released,7.1,423,0.0,1995
10858,44000000,en,5.092,1995-12-22,13681765,192.0,Released,7.1,72,0.31,1995
1408,98000000,en,7.284477,1995-12-22,10017322,119.0,Released,5.7,137,0.1,1995
524,52000000,en,10.137389,1995-11-22,116112375,178.0,Released,7.8,1343,2.23,1995
4584,16500000,en,10.673167,1995-12-13,135000000,136.0,Released,7.2,364,8.18,1995
5,4000000,en,9.026586,1995-12-09,4300000,98.0,Released,6.5,539,1.08,1995
9273,30000000,en,8.205448,1995-11-10,212385533,90.0,Released,6.1,1128,7.08,1995
11517,60000000,en,7.337906,1995-11-21,35431113,103.0,Released,5.4,224,0.59,1995
8012,30250000,en,12.669608,1995-10-20,115101622,105.0,Released,6.4,305,3.81,1995
1710,0,en,10.701801,1995-10-27,0,124.0,Released,6.5,199,0.0,1995
9691,50000000,en,11.065939,1995-10-06,30303072,132.0,Released,6.0,394,0.61,1995
12665,0,en,12.133094,1995-10-27,0,111.0,Released,6.3,143,0.0,1995
451,3600000,en,10.332025,1995-10-27,49800000,112.0,Released,7.1,365,13.83,1995
16420,0,en,1.845899,1995-12-15,0,123.0,Released,7.0,33,0.0,1995
9263,12000000,en,8.681325,1995-10-20,27400000,100.0,Released,6.6,91,2.28,1995
17015,0,en,2.228434,1995-09-27,0,104.0,Released,7.4,36,0.0,1995
902,18000000,fr,9.822423,1995-05-16,1738611,108.0,Released,7.6,308,0.1,1995
37557,0,zh,1.100915,1995-04-30,0,108.0,Released,6.5,17,0.0,1995
9909,0,en,9.481338,1995-08-11,180000000,99.0,Released,6.4,249,0.0,1995
63,29500000,en,12.297305,1995-12-29,168840000,129.0,Released,7.4,2470,5.72,1995
78802,0,fr,0.745542,1996-09-18,0,50.0,Released,6.8,4,0.0,1996
9598,30000000,en,14.404764,1995-07-18,254134910,89.0,Released,6.0,756,8.47,1995
47018,0,en,1.493361,1995-11-08,0,121.0,Released,6.4,16,0.0,1995
