belongs_to_collection,id_movie,language_abrev,language_movie
10194,862,en,English
119050,15602,en,English
96871,11862,en,English
645,710,en,English
645,710,ru,Pусский
645,710,es,Español
117693,21032,en,English
3167,9273,en,English
91698,8012,en,English
9435,9598,en,English
9818,9312,en,English
136214,10530,en,English
124935,11525,en,English
124935,11525,hu,Magyar
43563,10634,en,English
10924,755,en,English
10924,755,es,Español
122017,9102,en,English
256377,10874,en,English
91430,27793,en,English
14890,9737,en,English
120794,414,en,English
439053,5894,en,English
8819,8839,en,English
9649,8068,en,English
1570,1572,en,English
1570,1572,de,Deutsch
1570,1572,ro,Română
259398,13552,en,English
9328,9073,en,English
9328,9073,id,Bahasa indonesia
9328,9073,ms,Bahasa melayu
286162,9070,en,English
328073,1642,en,English
328073,1642,es,Español
9068,11980,en,English
247294,10802,en,English
439053,10149,en,English
9887,9348,en,English
112399,3512,en,English
23170,50797,ru,Pусский
123800,76,en,English
123800,76,de,Deutsch
123800,76,fr,Français
182813,2292,en,English
96665,8467,en,English
410261,15789,en,English
217704,628,en,English
217704,628,fr,Français
10,11,en,English
286948,63105,en,English
300546,527,en,English
300546,527,mi,
48188,18220,en,English
131,110,fr,Français
131,108,fr,Français
131,108,pl,Polski
131,109,fr,Français
131,109,hu,Magyar
131,109,pl,Polski
144200,22586,en,English
53159,11395,en,English
115142,9059,en,English
115570,193,en,English
3167,3049,en,English
192492,9331,en,English
9436,9495,en,English
351684,888,en,English
94032,8587,en,English
8581,11596,en,English
43072,854,sv,svenska
43072,854,en,English
37139,36593,en,English
167985,11011,en,English
167985,11011,la,Latin
43064,1637,en,English
170452,8831,en,English
261203,11667,en,English
261203,11667,ja,日本語
439409,75555,en,English
8050,8011,en,English
11716,2758,en,English
162028,9409,en,English
85861,306,en,English
150156,11310,en,English
150156,11310,it,Italiano
150156,11310,ru,Pусский
252313,24257,en,English
9328,1634,en,English
134011,5503,en,English
412680,2019,en,English
52988,9255,en,English
159600,16097,en,English
328,329,en,English
328,329,es,Español
8580,11231,en,English
5547,5550,en,English
5547,5550,ja,日本語
462565,11236,en,English
105075,8850,en,English
422837,78,en,English
422837,78,de,Deutsch
422837,78,cn,广州话 / 廣州話
422837,78,ja,日本語
422837,78,hu,Magyar
224478,9066,it,Italiano
224478,9066,de,Deutsch
224478,9066,en,English
224478,9066,hu,Magyar
9888,771,en,English
86027,812,en,English
528,280,en,English
528,280,es,Español
120794,268,en,English
120794,268,fr,Français
9743,274,en,English
153010,10020,fr,Français
153010,10020,en,English
98580,10824,en,English
141086,11827,en,English
141086,11827,hu,Magyar
8917,8766,en,English
140910,19042,en,English
87359,954,en,English
87359,954,fr,Français
87359,954,cs,Český
169452,8840,en,English
36694,25087,en,English
158391,5801,bn,বাংলা
158391,896,bn,বাংলা
144146,8072,fr,Français
143766,20762,it,Italiano
143766,20762,en,English
52888,11687,fr,Français
23026,9323,ja,日本語
529,532,en,English
