id_staff,cargo
7879,Director
12891,Screenplay
7,Screenplay
12892,Screenplay
12893,Screenplay
12894,Producer
12895,Executive Producer
12896,Producer
12897,Executive Producer
8,Editor
7883,Art Direction
1168870,Editor
1552883,Foley Editor
1453514,Animation
1414182,ADR Editor
7885,Orchestrator
1429549,Color Timer
7949,CG Painter
12890,Original Story
7911,Original Story
1629419,Post Production Supervisor
7961,Sculptor
12905,Animation Director
1748707,Layout
4949,Orchestrator
1372885,Music Editor
1739962,Negative Cutter
1748513,Negative Cutter
1458006,Title Designer
1748557,Supervising Technical Director
2216,Sound Designer
12909,Production Supervisor
953331,Executive Music Producer
7893,Animation Director
8025,Animation
78009,Animation
1748682,Animation
1454030,Animation
1748683,Animation
1748684,Animation
8029,Animation
1426773,Animation
8035,Animation
1748688,Animation
587314,Animation
7918,Animation
1748689,Animation
7892,Animation
555795,Animation
7882,Animation
8017,Animation
1184140,Animation
8049,Animation
1509559,Animation
1748691,Animation
8050,Animation
8010,Animation
8044,Animation
1454034,Animation
7887,Visual Effects Supervisor
1406878,Visual Effects
1748698,Visual Effects
1748699,Visual Effects
1748701,Visual Effects
1748703,Visual Effects
12912,Lighting Supervisor
7899,Lighting Supervisor
12915,CG Painter
1748705,Sculptor
7889,Character Designer
1748706,Character Designer
1176752,Character Designer
1088034,Character Designer
1447465,Character Designer
1748709,Layout
1748710,Set Dresser
1443471,Set Dresser
1748711,Set Dresser
1748712,Editorial Manager
1589729,Assistant Editor
1748716,Assistant Editor
1748717,Assistant Editor
1336438,Assistant Editor
1748718,Editorial Coordinator
1748719,Production Coordinator
1748720,Production Coordinator
1468014,Unit Publicist
1425978,Sound Re-Recording Mixer
8276,Supervising Sound Editor
7069,Sound Effects Editor
15894,Sound Design Assistant
1414177,Assistant Sound Editor
1748724,Assistant Sound Editor
1748725,Assistant Sound Editor
8067,Assistant Sound Editor
7902,Casting Consultant
84493,ADR Voice Casting
511,Executive Producer
876,Screenplay
1729,Original Music Composer
4945,Director
4951,Editor
4952,Casting
8023,Animation Supervisor
9967,Production Design
9184,Producer
9196,Executive Producer
18389,Executive Producer
11371,Director of Photography
42356,Novel
42357,Producer
56520,Screenplay
56521,Screenplay
26502,Director
16837,Characters
1551320,Sound Recordist
2178,Director
5144,Screenplay
21968,Producer
70592,Producer
111118,Screenplay
1079697,Original Music Composer
1087695,Producer
37,Original Music Composer
5506,Director of Photography
17698,Screenplay
26160,Screenplay
56106,Director
68755,Editor
638,Director
1254,Producer
5581,Original Music Composer
11099,Director of Photography
15840,Editor
15841,Editor
15842,Editor
1047,Editor
897,Casting
11411,Production Design
15843,Art Direction
8527,Costume Design
1305,Music Editor
14765,Supervising Sound Editor
15847,Special Effects Coordinator
